iter	Passed	Remaining
855	3527	4713
856	3531	4709
857	3535	4705
858	3538	4700
859	3542	4695
860	3546	4691
861	3551	4688
862	3554	4683
863	3558	4679
864	3562	4674
865	3566	4670
866	3570	4666
867	3574	4661
868	3579	4658
869	3583	4654
870	3587	4650
871	3591	4646
872	3595	4641
873	3599	4637
874	3603	4632
875	3606	4627
876	3610	4623
877	3614	4618
878	3618	4614
879	3621	4609
880	3625	4604
881	3629	4601
882	3633	4596
883	3637	4592
884	3641	4587
885	3645	4583
886	3649	4578
887	3652	4574
888	3656	4569
889	3660	4564
890	3663	4560
891	3667	4555
892	3671	4550
893	3674	4546
894	3678	4541
895	3683	4538
896	3686	4533
897	3690	4528
898	3693	4523
899	3697	4519
900	3702	4515
901	3706	4511
902	3713	4510
903	3717	4507
904	3723	4505
905	3727	4500
906	3731	4496
907	3734	4491
908	3738	4487
909	3742	4483
910	3746	4478
911	3750	4474
912	3754	4470
913	3759	4466
914	3762	4461
915	3767	4457
916	3771	4454
917	3775	4450
918	3779	4445
919	3783	4441
920	3787	4437
921	3790	4432
922	3795	4428
923	3800	4425
924	3804	4421
925	3809	4418
926	3814	4414
927	3818	4410
928	3823	4407
929	3827	4404
930	3833	4401
931	3837	4397
932	3841	4392
933	3844	4388
934	3848	4383
935	3852	4379
936	3856	4375
937	3860	4370
938	3864	4366
939	3867	4361
940	3871	4357
941	3876	4353
942	3880	4350
943	3885	4346
944	3889	4342
945	3893	4338
946	3897	4334
947	3901	4329
948	3906	4326
949	3909	4321
950	3913	4316
951	3916	4311
952	3920	4307
953	3925	4303
954	3929	4299
955	3933	4295
956	3937	4291
957	3941	4286
958	3945	4282
959	3949	4278
960	3953	4273
961	3956	4269
962	3960	4264
963	3964	4260
964	3968	4256
965	3972	4252
966	3976	4248
967	3980	4243
968	3984	4239
969	3988	4234
970	3992	4230
971	3996	4226
972	4000	4222
973	4003	4217
974	4007	4212
975	4011	4208
976	4015	4204
977	4020	4201
978	4025	4198
979	4029	4194
980	4034	4190
981	4038	4186
982	4041	4181
983	4045	4177
984	4050	4173
985	4054	4170
986	4059	4166
987	4063	4162
988	4067	4157
989	4071	4153
990	4075	4149
991	4079	4145
992	4083	4141
993	4087	4136
994	4090	4131
995	4094	4127
996	4098	4122
997	4101	4118
998	4105	4113
999	4108	4108
1000	4112	4104
1001	4117	4100
1002	4121	4096
1003	4126	4093
1004	4130	4088
1005	4134	4085
1006	4138	4081
1007	4142	4076
1008	4146	4072
1009	4150	4067
1010	4153	4063
1011	4157	4059
1012	4161	4055
1013	4166	4050
1014	4170	4046
1015	4174	4042
1016	4178	4038
1017	4182	4034
1018	4186	4030
1019	4191	4027
1020	4196	4023
1021	4201	4020
1022	4205	4016
1023	4209	4011
1024	4212	4007
1025	4216	4002
1026	4219	3997
1027	4223	3993
1028	4227	3988
1029	4230	3984
1030	4234	3980
1031	4238	3975
1032	4242	3971
1033	4246	3967
1034	4250	3962
1035	4253	3957
1036	4257	3953
1037	4260	3948
1038	4264	3944
1039	4268	3940
1040	4272	3935
1041	4275	3931
1042	4279	3926
1043	4283	3922
1044	4287	3918
1045	4292	3914
1046	4296	3910
1047	4300	3906
1048	4304	3902
1049	4308	3898
1050	4313	3894
1051	4316	3889
1052	4320	3885
1053	4324	3881
1054	4328	3877
1055	4332	3872
1056	4336	3868
1057	4340	3864
1058	4344	3860
1059	4347	3855
1060	4351	3851
1061	4355	3846
1062	4359	3842
1063	4363	3838
1064	4366	3833
1065	4370	3829
1066	4374	3825
1067	4378	3820
1068	4382	3816
1069	4387	3813
1070	4391	3809
1071	4395	3805
1072	4400	3801
1073	4403	3796
1074	4407	3792
1075	4410	3787
1076	4414	3782
1077	4417	3778
1078	4421	3774
1079	4425	3769
1080	4430	3766
1081	4434	3762
1082	4439	3759
1083	4443	3754
1084	4447	3750
1085	4450	3745
1086	4454	3741
1087	4458	3736
1088	4462	3732
1089	4465	3728
1090	4470	3724
1091	4473	3719
1092	4477	3715
1093	4482	3712
1094	4486	3707
1095	4490	3703
1096	4493	3699
1097	4498	3695
1098	4503	3692
1099	4508	3688
1100	4513	3685
1101	4518	3682
1102	4523	3678
1103	4527	3674
1104	4532	3671
1105	4537	3667
1106	4541	3663
1107	4546	3660
1108	4551	3656
1109	4555	3652
1110	4560	3648
1111	4564	3645
1112	4568	3641
1113	4572	3637
1114	4576	3632
1115	4580	3628
1116	4584	3624
1117	4588	3619
1118	4591	3615
1119	4595	3611
1120	4600	3607
1121	4604	3603
1122	4609	3599
1123	4613	3595
1124	4618	3592
1125	4623	3588
1126	4627	3584
1127	4632	3580
1128	4636	3577
1129	4641	3573
1130	4646	3569
1131	4650	3566
1132	4655	3562
1133	4659	3558
1134	4663	3554
1135	4667	3550
1136	4672	3546
1137	4676	3542
1138	4680	3538
1139	4685	3534
1140	4688	3529
1141	4693	3526
1142	4698	3522
1143	4702	3518
1144	4706	3514
1145	4710	3510
1146	4714	3506
1147	4719	3502
1148	4723	3498
1149	4726	3493
1150	4730	3489
1151	4734	3485
1152	4738	3481
1153	4742	3477
1154	4747	3472
1155	4750	3468
1156	4755	3464
1157	4759	3460
1158	4763	3456
1159	4767	3452
1160	4773	3449
1161	4778	3446
1162	4783	3442
1163	4787	3438
1164	4791	3434
1165	4794	3429
1166	4798	3425
1167	4802	3421
1168	4806	3416
1169	4810	3412
1170	4814	3408
1171	4818	3403
1172	4822	3399
1173	4826	3396
1174	4831	3392
1175	4835	3388
1176	4839	3383
1177	4843	3379
1178	4847	3375
1179	4852	3372
1180	4856	3368
1181	4861	3364
1182	4866	3360
1183	4870	3356
1184	4874	3352
1185	4877	3347
1186	4882	3344
1187	4886	3340
1188	4890	3335
1189	4894	3331
1190	4898	3327
1191	4902	3323
1192	4906	3319
1193	4910	3314
1194	4914	3310
1195	4918	3306
1196	4922	3301
1197	4925	3297
1198	4929	3293
1199	4933	3288
1200	4936	3284
1201	4941	3280
1202	4945	3276
1203	4949	3272
1204	4953	3268
1205	4958	3264
1206	4962	3260
1207	4966	3256
1208	4970	3251
1209	4973	3247
1210	4979	3244
1211	4983	3240
1212	4987	3236
1213	4991	3232
1214	4995	3227
1215	4999	3223
1216	5003	3219
1217	5007	3215
1218	5012	3211
1219	5016	3207
1220	5021	3203
1221	5026	3199
1222	5030	3196
1223	5035	3192
1224	5040	3188
1225	5044	3184
1226	5049	3181
1227	5053	3177
1228	5058	3173
1229	5062	3169
1230	5067	3165
1231	5071	3161
1232	5075	3157
1233	5080	3153
1234	5084	3149
